#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-29T19:33:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60b296d3281370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#-out=B-V
#-out=SpType
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
HIP;Vmag;Plx;B-V;SpType
 ;mag;mas;mag;
------;-----;-------;------;------------
     1; 9.10;   3.54; 0.482;F5
     2; 9.27;  21.90; 0.999;K3V
     3; 6.61;   2.81;-0.019;B9
     4; 8.06;   7.75; 0.370;F0V
     5; 8.55;   2.87; 0.902;G8III
     6;12.31;  18.80; 1.336;M0V:
     7; 9.64;  17.74; 0.740;G0
     8; 9.05;   5.17; 1.102;M6e-M8.5e Tc
     9; 8.59;   4.81; 1.067;G5
    10; 8.59;  10.76; 0.489;F6V
    11; 7.34;   4.29; 0.081;A2
    12; 8.43;   4.06; 1.484;K4III
    13; 8.80;   3.49; 1.128;K0III
    14; 7.25;   5.11; 1.200;K0
    15; 8.60;   2.45; 1.166;K2
    17; 8.15;   6.15; 0.425;F3V
    16;11.71;   0.53; 0.421;
    18;11.03;  19.93; 1.567;K5
    19; 6.53;   4.12; 0.955;G5
    20; 8.51;  10.76; 0.516;G0
    21; 7.55;   5.84; 1.438;K2
    22; 8.69;   4.47; 0.962;G8/K0III/IV
    23; 7.57;  12.21; 0.456;F2V
    24; 9.05;   9.73; 0.528;G0V
    25; 6.28;  13.74; 0.763;G3IV
    26; 9.13;   9.19; 0.535;F7V
    27; 9.32;   9.66; 0.671;G5V
    28; 8.83;   5.64; 0.468;F3/F5V
    29; 9.14;   2.85; 1.041;G8III
    30; 8.26;   3.79; 0.142;A0
    31; 7.63;   1.84; 1.453;K2
    32; 9.09;   3.10; 0.040;B8
    33; 8.10;   8.94; 0.466;F2
    34; 6.43;  12.71; 0.514;F7.5IV-V
    35; 9.07;   5.96; 0.916;G8/K0III/IV
    36; 7.68;   6.30; 1.150;K0
    37;10.44;   3.74; 0.391;F0V
    38; 8.65;  23.84; 0.778;G6V
    39; 7.46;  10.98; 0.475;F3V
    41; 8.70;   3.42; 0.026;A0
    40;10.61;  -3.40; 0.570;B...
    42; 8.20;   6.38; 0.387;F2
    43; 6.18;   7.63; 1.032;G9III-IV
    44; 7.91;   2.41; 1.104;K2
    45; 9.59;  15.10;      ;G6/G8V:
    46; 8.57;   1.19; 1.035;K1III
    47;10.78;  24.45; 1.150;K3V
    48; 7.31;   1.86; 1.164;K0/K1III
    49; 9.53;   1.59; 0.450;F5
    50; 6.49;  16.89; 0.616;G1IV
    51; 8.94;   0.41; 0.906;K0
    52; 8.56;   3.95; 0.196;A4V
    53;10.96;  -1.76;      ;
    54;10.57;  20.97; 1.030;M:
    55; 7.40;  14.66; 0.551;G2IV/V
    56; 8.12;   3.47; 1.329;K0
    57; 8.27;  33.89; 0.863;K2V
    58; 7.05;  26.06; 0.520;G0
    59; 9.09;  -0.06; 0.091;B5
    60; 8.34;   6.18; 0.386;F2IV
    61; 8.86;   5.60; 1.081;K5
    62; 8.27;   5.28; 0.994;G8III
    63; 6.36;   4.81;-0.047;B9p SiEu
    64; 8.08;   3.45; 1.156;K2III
    65;11.00;  16.98; 1.147;
    66; 8.55;   8.18; 0.401;F2V
    67; 7.83;   7.48; 0.495;F5
    68; 8.79;  31.80; 0.940;K0
    69; 8.33;   6.35; 0.135;A0
    70;10.42;   5.25; 0.706;
    71; 8.26;   9.13; 0.846;G5
    72; 8.97;  10.63; 0.671;G3/G5V
    73; 6.90;   3.97; 1.446;K2
    74; 9.93;  24.22; 1.068;K5
    75; 7.42;   1.60; 1.524;K4III
    76; 9.03;   2.29; 1.670;M0
    77; 8.41;   3.53; 0.022;A0V
    78; 8.06;   1.17; 1.203;K0
    79; 8.69;   4.57; 0.529;F5
    80; 8.40;  15.59; 0.566;G2V
    81; 8.57;  23.43; 0.642;G5
    82; 9.50;   1.82; 1.107;G5
    83; 8.85;   2.28; 1.726;M0
    84; 9.61;  18.90; 0.852;K0
    85;10.62;   3.90; 0.359;A2
    86; 8.05;   3.47; 0.018;B9
    87; 7.80;   4.52; 0.430;F5
    88; 5.71;   5.97; 0.911;G8III
    89; 7.87;   2.60; 1.566;K2
    90; 7.64;   9.35; 0.500;F5IV/V
    91; 7.66;   4.21; 1.300;K0
    92; 8.68;   4.77; 0.944;G8III
    93; 8.12;  16.74; 0.619;F8V
    94;10.10;  10.48; 0.644;G2
    95; 8.67;   7.85; 0.513;F5V
    96;10.46;  19.83; 1.360;M0
    98; 9.87;   6.49; 0.551;F6/F7V
    97; 9.48;   5.52; 0.530;F5V
    99; 7.04;   1.27; 2.835;C5p
   100; 8.44;   4.49; 0.898;G0
   101; 9.88;   7.35; 0.509;F5IV/V
   102; 7.05;   3.00; 1.550;M1III
   103; 8.29;   9.15; 0.538;F6V
   104; 9.34;   8.16; 0.543;F7V
   105; 7.73;   4.44; 0.455;F0
   106; 6.22;   4.50; 0.970;G7II-III
   107; 5.53;   5.84; 1.615;M2III
   108; 8.53;   0.30; 1.315;K3II/III
   109; 7.23;   5.33; 0.388;F0
   110; 8.61;  20.42; 0.787;G5
   111;11.28;  27.11; 1.308;M2
   112;10.76;  31.35; 1.384;M1.5V:
   113; 8.93;   0.27; 0.021;A0
   114; 7.95;   9.93; 0.654;G0IV
   115; 7.46;   4.73; 0.160;A2IV
   116; 8.60;   8.29; 0.435;F3V
   117; 8.55;   0.36; 1.093;G8III
   118; 9.20;  12.08; 0.606;G0
   119; 6.82;   7.49; 1.071;K0
   120; 8.29;   2.83; 1.183;K1IIICNIV
   121; 6.83;   3.66; 1.197;K2III
   122; 4.78;  14.77; 1.254;K2III
   123; 7.21;   5.07; 1.169;K0
   124; 5.58;   0.86; 0.407;F0III
   125; 8.70;   5.08; 0.366;F2V
   126; 8.06;   2.94; 0.969;G5
   127;10.86;  11.27; 0.942;
   128; 6.50;  15.20; 0.182;Am...
   129; 9.32;   6.60; 0.559;F8
   130; 9.14;   2.93; 1.080;K0III
   131; 8.13;   8.11; 0.200;A4V
   132;10.62;   1.89; 0.358;F0
   133; 6.62;   3.51; 0.545;F5IV
   134; 9.96;   1.30; 0.264;A0
   135; 8.64;  20.10; 0.620;G5
   136; 6.60;   5.84; 1.153;K2III-IV
   137; 6.25;   2.45;-0.042;B9IIIp Mn
